voter,injective_173,injective_193,injective_226,injective_306,injective_309,injective_310,injective_313,injective_315,injective_319,injective_321,injective_322,injective_323,injective_327,injective_330,injective_332,injective_333,injective_335,injective_336,injective_337,injective_338,injective_341,injective_343,injective_344,injective_346,injective_347,injective_350,injective_352,injective_354,injective_356,injective_358,injective_362,injective_363,injective_364,injective_365,injective_366,injective_367,injective_368,injective_369,injective_370,injective_371,injective_372,injective_373,injective_374,injective_375,injective_376,injective_377,injective_378,injective_379,injective_380,injective_381,injective_382,injective_384,injective_385,injective_386,injective_387,injective_388,injective_390,injective_393,injective_394,injective_396,injective_397,injective_398,injective_399,injective_400,injective_401,injective_402,injective_403,injective_404,injective_405,injective_406,injective_407,injective_408,injective_410,injective_411,injective_412,injective_413,injective_414,injective_415,injective_416,injective_417,injective_421,injective_423,injective_425,injective_426,injective_427,injective_428,injective_430,injective_432,injective_435,injective_436,injective_437,injective_439,injective_440,injective_441,injective_442,injective_443,injective_444,injective_445,injective_446,injective_447,injective_448,injective_451,injective_452,injective_453,injective_454,injective_455,injective_456,injective_457,injective_458,injective_459,injective_99,injective_100,injective_101,injective_108,injective_116,injective_134,injective_139,injective_141,injective_145,injective_147,injective_149,injective_150,injective_151,injective_152,injective_153,injective_154,injective_155,injective_157,injective_158,injective_160,injective_161,injective_164,injective_165,injective_169,injective_171,injective_174,injective_63,injective_95,injective_97,cluster_label
Imperatorco,YES,NO,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,NO,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,NO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
 AutoStake  Slash Protected,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,,,,ABSTAIN,ABSTAIN,,,,,,,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,3
StakeWithUs,,YES,YES,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,YES,YES,NO,YES,,ABSTAIN,YES,YES,YES,YES,YES,YES,,YES,ABSTAIN,,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,,,,3
BHarvest,YES,NO,YES,YES,NO,NO,NO,,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,3
StakeLabzone,,NO,,YES,NO,NO,ABSTAIN,YES,YES,YES,YES,,YES,YES,,,YES,YES,YES,YES,YES,YES,,,YES,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,NO,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,NO,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Crosnest,ABSTAIN,NO,ABSTAIN,YES,NO,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,NO,NO,NO,NO,NO,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,NO,NO,YES,YES,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,YES,NO,NO,NO,NO,NO,NO,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,,,,,,3
Chorus One,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,YES,NO,YES,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,ABSTAIN,ABSTAIN,,,,3
Forbole,,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,YES,,YES,YES,,,ABSTAIN,YES,,,,,,,,,,,,,,,,,,NO_WITH_VETO,ABSTAIN,,,,,,,,ABSTAIN,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,ABSTAIN,ABSTAIN,ABSTAIN,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,ABSTAIN,,,YES,,,,YES,YES,,YES,YES,,,,,,,,,,,3
Bi23 Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_VOTE,YES,YES,YES,YES,YES,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,NO_VOTE,NO_VOTE,NO_VOTE,3
POSTHUMAN  StakeDrop,,,,YES,NO,NO,YES,ABSTAIN,YES,YES,NO,YES,YES,YES,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,YES,YES,ABSTAIN,YES,YES,,,,,,,,,,,YES,YES,YES,YES,YES,YES,,,,YES,YES,,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,NO,YES,,,YES,YES,YES,YES,YES,NO,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,,,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Notional,YES,ABSTAIN,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,ABSTAIN,ABSTAIN,,,,3
jabbey,NO_VOTE,NO_VOTE,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_VOTE,,NO_VOTE,,,NO_VOTE,,,,,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
Smart Stake ,YES,NO,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,NO,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,NO_VOTE,,NO_VOTE,3
WhisperNode ,,,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,NO,NO,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,,YES,ABSTAIN,YES,,,,,,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Figment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,NO,,,,,,,,,,,,,,,,,,,,YES,,,,,,3
Golden Ratio Staking,,,YES,YES,NO,NO,NO,ABSTAIN,YES,YES,NO,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,,ABSTAIN,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ubik Capital,ABSTAIN,NO,YES,ABSTAIN,NO,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,,,,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,,,,ABSTAIN,ABSTAIN,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,,,,,,,,,,,,,,,,,,YES,,,YES,YES,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,,ABSTAIN,YES,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,NO,,,6
Stakelyio,YES,YES,ABSTAIN,YES,NO,NO,ABSTAIN,YES,YES,ABSTAIN,NO,YES,YES,ABSTAIN,ABSTAIN,NO,,,,YES,YES,YES,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,,ABSTAIN,NO,NO,,ABSTAIN,,,,,,,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,,,,NO,ABSTAIN,,YES,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,,,ABSTAIN,ABSTAIN,,YES,YES,YES,NO,NO,,YES,NO,YES,ABSTAIN,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,YES,YES,,ABSTAIN,NO,,ABSTAIN,YES,YES,,,,,3
ECO Stake ,,,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Citadelone,YES,NO,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,YES,ABSTAIN,YES,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,,,,,,,,,,YES,YES,YES,ABSTAIN,ABSTAIN,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,YES,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,YES,YES,ABSTAIN,,ABSTAIN,ABSTAIN,YES,YES,NO,NO,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,YES,YES,NO_VOTE,ABSTAIN,ABSTAIN,NO,ABSTAIN,YES,ABSTAIN,YES,YES,YES,YES,ABSTAIN,YES,YES,,,YES,YES,YES,YES,NO,YES,YES,YES,,YES,NO_VOTE,ABSTAIN,ABSTAIN,3
Informal Systems,,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,YES,YES,YES,ABSTAIN,ABSTAIN,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,YES,,ABSTAIN,YES,,,,NO,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,ABSTAIN,,ABSTAIN,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
