voter,sentinel_10,sentinel_14,sentinel_15,sentinel_16,sentinel_20,sentinel_22,sentinel_24,sentinel_27,sentinel_29,sentinel_35,sentinel_39,sentinel_45,sentinel_46,sentinel_48,sentinel_49,sentinel_54,cluster_label
 AutoStake  Slash Protected,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,ABSTAIN,ABSTAIN,YES,ABSTAIN,YES,NO_VOTE,3
Cosmic Validator,NO,NO,NO,NO,ABSTAIN,YES,YES,YES,ABSTAIN,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,YES,0
StakeWithUs,YES,NO,,NO,,,,,,,,,,,,,3
StakeLabzone,NO,NO,NO,NO,,,,,,,,,,,,,3
Mandragora,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,YES,,YES,YES,7
SpacePotato,YES,NO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,YES,,,,,,,,3
Noderunners,NO,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,YES,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,NO,NO,YES,YES,YES,ABSTAIN,3
KalpaTech,YES,YES,YES,YES,ABSTAIN,YES,YES,ABSTAIN,NO_VOTE,YES,ABSTAIN,NO,YES,YES,NO_VOTE,YES,3
Forbole,,NO,NO,NO,ABSTAIN,ABSTAIN,ABSTAIN,YES,ABSTAIN,ABSTAIN,YES,,,YES,,,3
Notional,YES,NO,NO,NO,NO,YES,ABSTAIN,NO,YES,YES,,,,,,,3
WhisperNode ,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,ABSTAIN,,3
stakefish,,,,,,,,,NO_VOTE,,,,,,,NO_VOTE,3
Alex Bambarello Validator,NO_WITH_VETO,NO,NO,NO,YES,YES,YES,NO,,,NO,,,,,,3
Ubik Capital,NO,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,ABSTAIN,NO,YES,ABSTAIN,ABSTAIN,,6
Chihuahua,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
CommunityStaking,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,ABSTAIN,YES,ABSTAIN,NO,YES,ABSTAIN,YES,YES,3
Citadelone,YES,NO,NO,NO,ABSTAIN,NO_VOTE,YES,ABSTAIN,YES,YES,ABSTAIN,NO,YES,ABSTAIN,YES,YES,3
Zenscape,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
Cosmostation,NO,NO,NO,NO,ABSTAIN,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO_VOTE,ABSTAIN,NO,YES,YES,YES,YES,3
Kleomedes,,,,,,,,,,YES,ABSTAIN,NO,ABSTAIN,NO,ABSTAIN,ABSTAIN,1
BlueStake   100 insurance,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,ABSTAIN,YES,NO_VOTE,1
artifact,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
OmniFlix Network,YES,NO,NO,NO,NO,YES,NO_VOTE,YES,ABSTAIN,YES,ABSTAIN,NO,YES,ABSTAIN,YES,NO_VOTE,3
Stakecito,NO,NO,NO,NO,NO,YES,ABSTAIN,ABSTAIN,YES,YES,YES,NO,YES,YES,YES,YES,3
polkachucom,,,,,,,,,,YES,YES,NO,YES,YES,YES,YES,3
SOLAR Labs,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,0
ChainLayer,YES,NO,NO,NO,,,,,NO_VOTE,,,,,,,,3
strangelove,,,,,,,,,,,,NO,YES,NO,YES,,1
Komikuri,NO,,,,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,YES,,YES,YES,3
Allnodes,NO,NO,NO,NO,NO,NO_VOTE,ABSTAIN,YES,YES,YES,NO,NO,YES,ABSTAIN,YES,YES,3
BadgerBite,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,0
Klub Staking,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,YES,YES,,,,,,,,,3
PoS Node,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,NO_VOTE,YES,YES,NO,YES,YES,YES,YES,1
Sarvodaya Validators,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
WeStaking,YES,NO,NO,NO,NO,YES,YES,YES,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,3
SmartNodes  Slash Protected,YES,,,,,YES,YES,,,,,,,,,,1
Stake Frites  ,,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,ABSTAIN,,YES,NO,YES,ABSTAIN,,,0
Decloud Nodes Lab,,,,,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,4
ChainTools,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO_VOTE,1
chainvibes,YES,NO,NO,NO,NO_VOTE,YES,YES,YES,ABSTAIN,YES,YES,NO,YES,YES,YES,YES,1
DECOMISSIONED AUDITone,YES,NO,NO,NO,,,,,,,,,,,,,0
Perfect Stake ,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,0
Wanderer Staking,,NO,NO,NO,YES,YES,YES,NO,,,,,,,,,1
Redelegateyourfunds,,NO,NO,NO,,,,,,,NO,,,,,,0
Bit Cat,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,1
CosmicNode,,,,,,,,,,,,,,,,NO_VOTE,2
Autonomy  Formerly PrithviDevs ,YES,NO,NO,NO,,,YES,,,,YES,,,,,,4
ValidatorNode,,,,,NO_VOTE,,,,NO_VOTE,YES,ABSTAIN,NO_VOTE,YES,YES,YES,YES,4
Dwebnet,YES,,,,NO,YES,YES,NO,YES,YES,,,YES,,YES,YES,4
BridgeTower,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,,NO,YES,,,,0
MedasDigital,YES,NO_VOTE,NO_VOTE,YES,NO,YES,YES,YES,YES,YES,ABSTAIN,NO,YES,YES,YES,NO_VOTE,0
TRGC By Liquify,,,,,,,,,,,,NO,YES,,,YES,5
UNBONDING,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,0
50 Validator  Airdrop,,,,,,,,,,YES,NO,NO,YES,YES,,,4
Crypto Lab Tech,,,,,,,,,,,,,,,YES,,4
DECOMMISSIONED,ABSTAIN,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO_VOTE,YES,YES,YES,ABSTAIN,,,,,,NO_VOTE,NO_VOTE,0
 Quokka Stake,ABSTAIN,NO,NO,NO,ABSTAIN,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,7
DragonStake ,YES,,,,,,,,,,,,,,,,4
REDELEGATEPLEASE,NO,NO,NO,NO,YES,YES,YES,YES,YES,,,,,,,,5
Winter Validator,,,,,,,,,,YES,YES,NO,YES,YES,,YES,5
Trivium  TriviumNetwork,,,,,NO,YES,YES,YES,,YES,ABSTAIN,ABSTAIN,ABSTAIN,YES,YES,,0
Liquify,,,,,,,,,,,,,,,,YES,6
Tavis Digital,YES,NO,NO,NO,NO_VOTE,,,,NO_VOTE,,,,,,NO_VOTE,NO_VOTE,0
Easy2Stake,YES,NO,NO,NO,YES,YES,ABSTAIN,NO,ABSTAIN,ABSTAIN,,,,ABSTAIN,YES,YES,0
Stakewollecom  full insurance,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,0
Daksha Validator,YES,NO,NO,NO,NO,,,,,,,,,,,,0
Woodstock Fund,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,0
Active Nodes  Please Redelegate before 3 June,ABSTAIN,NO_WITH_VETO,NO_WITH_VETO,NO_WITH_VETO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,,0
Secret LLC,YES,,,,,,,,NO_VOTE,,,,,,,,5
Decommissioned,NO,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,ABSTAIN,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,0
BlueFrenDAO,NO,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,ABSTAIN,,YES,YES,,YES,YES,YES,,0
NorthCap,NO,NO_VOTE,NO_VOTE,NO_VOTE,ABSTAIN,YES,ABSTAIN,ABSTAIN,NO_VOTE,YES,NO,NO,YES,NO,ABSTAIN,YES,0
MathNodes,ABSTAIN,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,0
Shutting down soon,YES,NO,NO,NO,ABSTAIN,,,,,,,,,,,,0
exnihilovalidator,YES,NO,NO,NO,YES,YES,YES,YES,ABSTAIN,YES,YES,NO,YES,YES,YES,YES,0
Swiss Staking  Discontinued please redelegate,YES,ABSTAIN,ABSTAIN,ABSTAIN,NO,YES,YES,YES,,,,,,,,,0
Stakin Discontinued Redelegate,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,,,,,,NO_VOTE,0
GreyWolfCo,YES,NO,NO,NO,,,,,,,,,,,,,0
Bitveil,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,YES,0
Nous Host,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,0
zeroserviceseu,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,YES,NO,NO,YES,YES,YES,YES,0
Avril14th,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,,,NO_VOTE,NO_VOTE,NO_VOTE,NO_VOTE,NO,YES,YES,NO_VOTE,YES,0
Low FEES sustainability and profits  Stakers Hub,,YES,YES,NO_WITH_VETO,,,,,,,,,,,,,0
Anonymity Network,,,,,NO_VOTE,NO,YES,YES,NO_VOTE,NO_VOTE,YES,NO_VOTE,,NO_VOTE,NO_VOTE,NO_VOTE,5
Stopping Please redelegate to New Witner,,,,,NO_VOTE,,,,NO_VOTE,YES,,,,,NO_VOTE,NO_VOTE,2
Foxinodes,,,,,,YES,YES,YES,,YES,YES,NO,YES,ABSTAIN,YES,YES,5
Strata One,,,,,,YES,YES,YES,,,,,,,YES,,0
CryptoNet,,,,,,YES,ABSTAIN,YES,YES,ABSTAIN,ABSTAIN,NO_WITH_VETO,YES,ABSTAIN,,YES,5
ChronoBitEnterprise,,,,,,YES,YES,YES,YES,YES,NO,NO,YES,YES,,,5
A4ADAO,,,,,,YES,YES,,NO_VOTE,,,NO,YES,YES,,,5
Norse Labs,,,,,,YES,ABSTAIN,NO,,,,,,,,,0
Trinity Validator,,,,,,,,,YES,YES,YES,NO,YES,YES,YES,,5
lux8net,,,,,,,,,,ABSTAIN,,,,,,,2
AtmosferMuda  REStakeapp ,,,,,,,,,,YES,ABSTAIN,NO,YES,YES,YES,YES,5
dvMiku Validator,,,,,,,,,,YES,YES,,,,,YES,2
0xbas3d,,,,,,,,,,,YES,,,,,,2
Sentinel Growth DAO,,,,,,,,,,,ABSTAIN,NO,,ABSTAIN,,,5
TkdAlex,,,,,,,,,,,,NO,YES,YES,YES,YES,5
Oneiric Stake,,,,,,,,,,,,NO,YES,YES,YES,YES,5
RoomIT,,,,,,,,,,,,NO,YES,YES,YES,,5
openstakenet,,,,,,,,,,,,,,YES,YES,YES,5
Summit Nodes,,,,,,,,,,,,,,,YES,,5
AntMan,,,,,,,,,,,,,,,,YES,2
Busurnode,,,,,,,,,,,,,,,,YES,2
