,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Imperatorco,StakeWithUs,BHarvest,Provalidator,Crosnest,Chorus One,Swiss Staking,01node,Ping,0basevc,NodeStake,Figment,Kahuna,Nocturnal Labs,Kalia Network,ECO Stake ,Citadelone,Informal Systems, LavenderFive Nodes ,KingSuper,Frens ,Cosmostation,NodesGuru,Coinage x DAIC,Dora Factory,blockscape,Keplr,Stakecito,polkachucom,Meria,PRO Delegators,Interstellar Lounge ,DELIGHT,DSRV,Blockdaemon,DACM,strangelove,Allnodes,Everstake,Enigma,HashKey Cloud, ,Validatriumcom,DO NOT DELEGATE,Bit Cat,P2PORG  P2P Validator,TTT ,coinhallorg ,Kiln,Luganodes,InfStones,CEXIO Validator,Ex Machina,purple fog,Validation Cloud,Smart Stake   5 max,Tan,StakeCraft,Decommissioned  Delegate Away,CryptoCrew X Defi Dojo,Orbital Command,    Kingnodes ,0 Fee until 2025  Cosmic Validator, Silk Nodes,  RHINO,LTP,  AutoStake  StakeDrops,Pareto,Sunsetting please redelegate Forbole,Crypto Learning Club  dYdX Validator,Cosmic Nexus,BwareLabs,DragonStake ,StableLab,Staker Space,Ledger by Meria,santorini,Skycatcher,XMG Capital,Nodeplus,AUDITone,Polychain,OWALLET,high_similarity_voters
0,Imperatorco,9,4,0,2,0,15,15,15,14,13,0.9333333333333333,0.8666666666666667,1.0,3,1.0,0.2,0.0,0.5333333333333333,0.2,0.5333333333333333,0.0,0.06666666666666667,0.2,0.6,0.06666666666666667,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.4666666666666667,0.7333333333333333,0.6,0.13333333333333333,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.4,0.4,0.0,0.4666666666666667,0.7333333333333333,0.8,0.7333333333333333,0.3333333333333333,0.7333333333333333,0.2,0.0,0.13333333333333333,0.5333333333333333,0.6,0.7333333333333333,0.06666666666666667,0.7333333333333333,0.4,0.0,0.0,0.06666666666666667,0.0,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.26666666666666666,0.6666666666666666,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.7333333333333333,0.26666666666666666,0.6,0.4666666666666667,0.06666666666666667,0.6666666666666666,0.2,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.4,0.2,0.2,0.7333333333333333,0.0,0.26666666666666666,0.13333333333333333,"['0basevc', 'ECO Stake ', 'Informal Systems', ' LavenderFive Nodes ', 'Frens ', 'Stakecito', 'polkachucom', 'Meria', 'Interstellar Lounge ', 'strangelove', 'Allnodes', 'Enigma', 'Validation Cloud', '    Kingnodes ', ' Silk Nodes', '  AutoStake  StakeDrops', 'Nodeplus']"
1,StakeWithUs,5,0,0,2,1,7,8,15,4,4,0.5,0.5,0.4666666666666667,3,0.2,1.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.0,0.13333333333333333,0.3333333333333333,0.0,0.06666666666666667,0.0,0.2,0.2,0.2,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.2,0.2,0.0,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333,0.2,0.2,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.2,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,[]
2,BHarvest,0,0,0,0,15,0,15,15,0,0,0.0,0.0,0.0,3,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.4,0.0,0.0,0.6666666666666666,0.8,0.06666666666666667,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.2,0.0,0.0,"['NodeStake', 'Blockdaemon', ' ', 'Bit Cat', 'Tan', 'Pareto', 'Sunsetting please redelegate Forbole', 'Staker Space']"
3,Provalidator,8,2,0,3,0,13,13,15,8,8,0.6153846153846154,0.6153846153846154,0.8666666666666667,3,0.5333333333333333,0.13333333333333333,0.0,1.0,0.26666666666666666,0.4666666666666667,0.0,0.0,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.4,0.3333333333333333,0.4,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.6,0.06666666666666667,0.2,0.2,0.0,0.4,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.06666666666666667,0.0,0.2,0.2,0.5333333333333333,0.4666666666666667,0.13333333333333333,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.5333333333333333,0.13333333333333333,0.2,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.3333333333333333,0.0,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.4,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.2,0.13333333333333333,0.4666666666666667,0.0,0.13333333333333333,0.13333333333333333,"['Cosmostation', 'Validation Cloud']"
4,Crosnest,2,5,0,3,0,10,10,15,4,4,0.4,0.4,0.6666666666666666,3,0.2,0.06666666666666667,0.0,0.26666666666666666,1.0,0.2,0.0,0.06666666666666667,0.13333333333333333,0.4,0.0,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.2,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.2,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.4,0.13333333333333333,0.2,0.4,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.2,0.06666666666666667,0.0,0.06666666666666667,0.4,0.0,0.2,0.2,0.2,0.2,0.0,0.13333333333333333,0.13333333333333333,0.0,0.2,0.0,0.0,0.06666666666666667,0.2,0.0,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.0,0.06666666666666667,0.06666666666666667,[]
5,Chorus One,7,3,0,5,0,15,15,15,8,9,0.5333333333333333,0.6,1.0,3,0.5333333333333333,0.26666666666666666,0.0,0.4666666666666667,0.2,1.0,0.0,0.0,0.2,0.6666666666666666,0.0,0.2,0.2,0.3333333333333333,0.6,0.4,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.7333333333333333,0.6666666666666666,0.4666666666666667,0.4,0.26666666666666666,0.06666666666666667,0.7333333333333333,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.4,0.26666666666666666,0.0,0.13333333333333333,0.2,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.6,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.4,0.26666666666666666,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.6,0.4,0.6,0.4,0.06666666666666667,0.4,0.13333333333333333,0.06666666666666667,0.6,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.0,0.13333333333333333,0.06666666666666667,"['0basevc', 'Kalia Network', 'Frens ', 'Cosmostation', 'Keplr', 'Stakecito', 'Kiln', 'Validation Cloud', '    Kingnodes ', ' Silk Nodes', 'Crypto Learning Club  dYdX Validator']"
6,Swiss Staking,1,0,0,0,0,1,1,15,0,0,0.0,0.0,0.06666666666666667,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
7,01node,0,1,0,0,0,1,1,15,1,1,1.0,1.0,0.06666666666666667,3,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,1.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
8,Ping,3,1,0,0,0,4,4,15,4,4,1.0,1.0,0.26666666666666666,3,0.2,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0,1.0,0.2,0.0,0.06666666666666667,0.13333333333333333,0.2,0.2,0.2,0.2,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.2,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.2,0.2,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.2,0.2,0.2,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.2,0.2,0.0,0.0,0.0,[]
9,0basevc,8,2,0,4,0,14,14,15,10,11,0.7142857142857143,0.7857142857142857,0.9333333333333333,3,0.6,0.3333333333333333,0.0,0.4666666666666667,0.4,0.6666666666666666,0.0,0.06666666666666667,0.2,1.0,0.0,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.6,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.2,0.0,0.4666666666666667,0.6,0.5333333333333333,0.4666666666666667,0.4,0.5333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.26666666666666666,0.4,0.4,0.2,0.6,0.4666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.5333333333333333,0.2,0.6,0.6666666666666666,0.2,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.7333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.6,0.5333333333333333,0.4666666666666667,0.4,0.06666666666666667,0.4666666666666667,0.2,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.2,0.2,0.4666666666666667,0.0,0.2,0.06666666666666667,"['Imperatorco', 'Chorus One', 'Frens ', 'Stakecito', 'Enigma', 'coinhallorg ', 'Kiln', 'Validation Cloud', '    Kingnodes ']"
10,NodeStake,1,0,0,0,9,1,10,15,1,1,0.1,0.1,0.06666666666666667,3,0.06666666666666667,0.0,0.6,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.6,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.2,0.0,0.0,0.4666666666666667,0.6,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,"['BHarvest', ' ', 'Bit Cat', 'Tan', 'Sunsetting please redelegate Forbole', 'Staker Space']"
11,Figment,2,2,0,0,0,4,4,15,3,4,0.75,1.0,0.26666666666666666,3,0.2,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.2,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,1.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.2,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.0,0.2,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,[]
12,Kahuna,2,1,0,3,0,6,6,15,5,5,0.8333333333333334,0.8333333333333334,0.4,7,0.3333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.2,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,1.0,0.26666666666666666,0.2,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.2,0.2,0.2,0.26666666666666666,0.2,0.26666666666666666,0.06666666666666667,0.0,0.0,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.2,0.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.2,0.2,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.0,0.13333333333333333,0.0,[]
13,Nocturnal Labs,3,2,0,6,0,11,11,15,6,7,0.5454545454545454,0.6363636363636364,0.7333333333333333,7,0.3333333333333333,0.2,0.0,0.2,0.26666666666666666,0.3333333333333333,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.26666666666666666,1.0,0.2,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.2,0.3333333333333333,0.6,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.2,0.0,0.06666666666666667,0.0,0.0,0.4666666666666667,0.13333333333333333,0.26666666666666666,0.4,0.13333333333333333,0.06666666666666667,0.2,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.2,0.0,0.0,0.0,0.26666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,0.0,0.3333333333333333,0.06666666666666667,0.0,0.2,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.0,0.4,0.2,0.06666666666666667,0.26666666666666666,0.4,0.0,0.13333333333333333,0.0,['Coinage x DAIC']
14,Kalia Network,7,3,0,3,0,13,13,15,5,9,0.38461538461538464,0.6923076923076923,0.8666666666666667,1,0.3333333333333333,0.2,0.0,0.3333333333333333,0.26666666666666666,0.6,0.0,0.0,0.2,0.4666666666666667,0.0,0.13333333333333333,0.2,0.2,1.0,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.4,0.2,0.0,0.4,0.4,0.4,0.4,0.2,0.2,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.4666666666666667,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.0,0.4666666666666667,0.4,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,0.0,0.06666666666666667,0.2,0.2,0.2,0.2,0.2,0.0,0.06666666666666667,0.0,['Chorus One']
15,ECO Stake ,11,2,0,2,0,15,15,15,12,11,0.8,0.7333333333333333,1.0,3,0.7333333333333333,0.2,0.0,0.4,0.2,0.4,0.06666666666666667,0.0,0.2,0.4666666666666667,0.06666666666666667,0.0,0.3333333333333333,0.4666666666666667,0.3333333333333333,1.0,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.13333333333333333,0.6,0.4666666666666667,0.4,0.4,0.4,0.0,0.4,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.3333333333333333,0.7333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.5333333333333333,0.6,0.06666666666666667,0.6,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.5333333333333333,0.2,0.4,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.2,0.0,0.0,0.0,0.13333333333333333,0.0,0.5333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.0,0.3333333333333333,0.26666666666666666,0.0,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.2,0.2,0.26666666666666666,0.7333333333333333,0.0,0.2,0.06666666666666667,"['Imperatorco', 'Informal Systems', 'Frens ', 'Stakecito', 'polkachucom', 'Meria', 'Interstellar Lounge ', 'Allnodes', 'Enigma', '  AutoStake  StakeDrops', 'Nodeplus']"
