,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label, AutoStake  Slash Protected,Cosmic Validator,StakeWithUs,StakeLabzone,Mandragora,SpacePotato,Noderunners,KalpaTech,Forbole,Notional,WhisperNode ,stakefish,Alex Bambarello Validator,Ubik Capital,Chihuahua,CommunityStaking,Citadelone,Zenscape,Cosmostation,Kleomedes,BlueStake   100 insurance,artifact,OmniFlix Network,Stakecito,polkachucom,SOLAR Labs,ChainLayer,strangelove,Komikuri,Allnodes,BadgerBite,Klub Staking,PoS Node,Sarvodaya Validators,WeStaking,SmartNodes  Slash Protected,Stake Frites  ,Decloud Nodes Lab,ChainTools,chainvibes,DECOMISSIONED AUDITone,Perfect Stake ,Wanderer Staking,Redelegateyourfunds,Bit Cat,CosmicNode,Autonomy  Formerly PrithviDevs ,ValidatorNode,Dwebnet,BridgeTower,MedasDigital,TRGC By Liquify,UNBONDING,50 Validator  Airdrop,Crypto Lab Tech,DECOMMISSIONED, Quokka Stake,DragonStake ,REDELEGATEPLEASE,Winter Validator,Trivium  TriviumNetwork,Liquify,Tavis Digital,Easy2Stake,Stakewollecom  full insurance,Daksha Validator,Woodstock Fund,Active Nodes  Please Redelegate before 3 June,Secret LLC,Decommissioned,BlueFrenDAO,NorthCap,MathNodes,Shutting down soon,exnihilovalidator,Swiss Staking  Discontinued please redelegate,Stakin Discontinued Redelegate,GreyWolfCo,Bitveil,Nous Host,zeroserviceseu,Avril14th,Low FEES sustainability and profits  Stakers Hub,Anonymity Network,Stopping Please redelegate to New Witner,Foxinodes,Strata One,CryptoNet,ChronoBitEnterprise,A4ADAO,Norse Labs,Trinity Validator,lux8net,AtmosferMuda  REStakeapp ,dvMiku Validator,0xbas3d,Sentinel Growth DAO,TkdAlex,Oneiric Stake,RoomIT,openstakenet,Summit Nodes,AntMan,Busurnode,high_similarity_voters
0, AutoStake  Slash Protected,7,5,0,3,1,15,16,16,11,12,0.6875,0.75,0.9375,3,1.0,0.6875,0.125,0.25,0.5625,0.375,0.3125,0.3125,0.25,0.4375,0.625,0.0625,0.3125,0.375,0.0625,0.625,0.625,0.0625,0.5,0.125,0.8125,0.0625,0.75,0.625,0.1875,0.1875,0.1875,0.125,0.625,0.6875,0.75,0.1875,0.3125,0.0625,0.5,0.125,0.375,0.5,0.625,0.5625,0.1875,0.125,0.3125,0.1875,0.25,0.0625,0.25,0.25,0.4375,0.5625,0.625,0.0625,0.0625,0.125,0.0625,0.25,0.625,0.0,0.5,0.125,0.5,0.0,0.25,0.375,0.6875,0.25,0.125,0.5,0.0,0.125,0.4375,0.25,0.6875,0.1875,0.5625,0.25,0.625,0.1875,0.0625,0.5,0.1875,0.0625,0.0,0.1875,0.125,0.4375,0.25,0.375,0.375,0.1875,0.0625,0.25,0.0,0.25,0.0625,0.0,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0,0.0,"['Cosmic Validator', 'WhisperNode ', 'CommunityStaking', 'Citadelone', 'BlueStake   100 insurance', 'OmniFlix Network', 'Stakecito', 'Komikuri', 'Allnodes', 'BadgerBite', 'ChainTools', 'MedasDigital', ' Quokka Stake', 'Stakewollecom  full insurance', 'MathNodes', 'Stakin Discontinued Redelegate']"
1,Cosmic Validator,6,5,0,5,0,16,16,16,10,10,0.625,0.625,1.0,0,0.6875,1.0,0.125,0.25,0.5,0.25,0.25,0.5,0.375,0.3125,0.625,0.0,0.3125,0.5,0.0,0.6875,0.6875,0.0,0.6875,0.25,0.625,0.0,0.6875,0.5625,0.25,0.125,0.1875,0.125,0.5625,0.625,0.6875,0.1875,0.375,0.0,0.375,0.125,0.4375,0.4375,0.4375,0.6875,0.1875,0.0625,0.3125,0.1875,0.125,0.0,0.25,0.25,0.3125,0.5625,0.4375,0.1875,0.0,0.1875,0.0,0.25,0.6875,0.0,0.4375,0.25,0.3125,0.0625,0.1875,0.4375,0.625,0.1875,0.0625,0.375,0.0,0.0625,0.3125,0.5,0.625,0.25,0.6875,0.1875,0.4375,0.1875,0.0625,0.4375,0.25,0.1875,0.0,0.125,0.0625,0.5,0.1875,0.375,0.375,0.25,0.0625,0.1875,0.0,0.3125,0.125,0.0,0.1875,0.1875,0.1875,0.125,0.0625,0.0,0.0625,0.0625,"[' AutoStake  Slash Protected', 'WhisperNode ', 'CommunityStaking', 'Citadelone', 'Cosmostation', 'BlueStake   100 insurance', 'OmniFlix Network', 'Allnodes', 'BadgerBite', 'chainvibes', ' Quokka Stake', 'Stakewollecom  full insurance', 'MathNodes', 'exnihilovalidator']"
2,StakeWithUs,1,2,0,0,0,3,3,16,3,3,1.0,1.0,0.1875,3,0.125,0.125,1.0,0.125,0.0625,0.1875,0.0,0.0625,0.125,0.1875,0.1875,0.0,0.125,0.0,0.0,0.0,0.1875,0.0,0.125,0.0,0.1875,0.0,0.1875,0.125,0.0,0.0,0.1875,0.0,0.0,0.125,0.125,0.0625,0.0,0.0,0.1875,0.0625,0.0,0.0,0.0,0.1875,0.1875,0.0,0.125,0.125,0.0,0.0,0.1875,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.125,0.0,0.0,0.0,0.1875,0.1875,0.125,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0,0.125,0.1875,0.1875,0.0625,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
3,StakeLabzone,0,4,0,0,0,4,4,16,3,3,0.75,0.75,0.25,3,0.25,0.25,0.125,1.0,0.0,0.1875,0.0625,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0625,0.0,0.0625,0.1875,0.0,0.25,0.0,0.1875,0.0,0.1875,0.25,0.0,0.0625,0.1875,0.0,0.0625,0.25,0.25,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0625,0.1875,0.1875,0.0625,0.1875,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.25,0.0,0.0,0.0,0.1875,0.1875,0.25,0.1875,0.0625,0.0,0.0,0.0625,0.0625,0.0625,0.1875,0.1875,0.1875,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
4,Mandragora,9,2,0,4,0,15,15,16,11,11,0.7333333333333333,0.7333333333333333,0.9375,7,0.5625,0.5,0.0625,0.0,1.0,0.25,0.3125,0.5,0.0625,0.3125,0.5625,0.0,0.125,0.5,0.0,0.8125,0.5625,0.0,0.375,0.1875,0.625,0.0,0.5625,0.5,0.3125,0.125,0.0625,0.1875,0.6875,0.5,0.625,0.4375,0.4375,0.0,0.3125,0.1875,0.5625,0.625,0.75,0.5625,0.0625,0.0,0.125,0.0,0.1875,0.0,0.125,0.3125,0.5625,0.4375,0.6875,0.1875,0.0,0.1875,0.0625,0.1875,0.5625,0.0625,0.25,0.25,0.4375,0.0625,0.0625,0.25,0.5625,0.125,0.0,0.5625,0.0625,0.0,0.5625,0.3125,0.625,0.0625,0.5625,0.5,0.4375,0.0625,0.125,0.625,0.3125,0.1875,0.0,0.125,0.0625,0.5,0.25,0.375,0.4375,0.25,0.0625,0.3125,0.0,0.375,0.125,0.0,0.125,0.25,0.25,0.1875,0.125,0.0625,0.0625,0.0625,"['CommunityStaking', 'BlueStake   100 insurance', 'Komikuri', 'BadgerBite', 'Decloud Nodes Lab', 'ChainTools', 'MedasDigital', 'MathNodes', 'Nous Host']"
5,SpacePotato,3,4,0,2,0,9,9,16,7,7,0.7777777777777778,0.7777777777777778,0.5625,3,0.375,0.25,0.1875,0.1875,0.25,1.0,0.125,0.1875,0.25,0.5,0.4375,0.0,0.25,0.1875,0.0,0.125,0.375,0.0,0.375,0.0,0.4375,0.0,0.375,0.5,0.0,0.25,0.25,0.0,0.1875,0.375,0.375,0.125,0.0,0.0,0.375,0.125,0.125,0.1875,0.1875,0.3125,0.25,0.0,0.25,0.1875,0.0625,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0625,0.3125,0.0625,0.3125,0.0,0.125,0.0,0.25,0.375,0.375,0.3125,0.0,0.1875,0.0625,0.125,0.1875,0.1875,0.375,0.25,0.3125,0.1875,0.4375,0.25,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.1875,0.125,0.0625,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
6,Noderunners,6,3,3,4,0,16,16,16,6,6,0.375,0.375,1.0,3,0.3125,0.25,0.0,0.0625,0.3125,0.125,1.0,0.1875,0.3125,0.125,0.3125,0.0,0.125,0.375,0.0,0.3125,0.25,0.0,0.375,0.125,0.3125,0.0,0.25,0.4375,0.25,0.125,0.0,0.1875,0.375,0.5,0.4375,0.125,0.3125,0.0,0.0625,0.0,0.1875,0.4375,0.4375,0.3125,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.1875,0.1875,0.375,0.375,0.125,0.0,0.25,0.0625,0.25,0.375,0.0,0.25,0.1875,0.1875,0.0,0.0,0.25,0.375,0.0,0.0625,0.5625,0.0,0.125,0.25,0.3125,0.4375,0.0,0.375,0.0625,0.125,0.0,0.0625,0.4375,0.3125,0.1875,0.0625,0.0625,0.0,0.25,0.125,0.3125,0.375,0.1875,0.0625,0.3125,0.0625,0.25,0.0,0.0,0.0625,0.25,0.25,0.25,0.125,0.0625,0.0,0.0,[]
7,KalpaTech,10,1,0,3,2,14,16,16,8,9,0.5,0.5625,0.875,3,0.3125,0.5,0.0625,0.0,0.5,0.1875,0.1875,1.0,0.125,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.4375,0.5625,0.125,0.5,0.1875,0.375,0.125,0.375,0.4375,0.3125,0.25,0.125,0.125,0.4375,0.25,0.4375,0.1875,0.4375,0.125,0.3125,0.1875,0.25,0.4375,0.375,0.5,0.0625,0.125,0.125,0.0,0.1875,0.0,0.125,0.375,0.375,0.375,0.5625,0.1875,0.125,0.25,0.0,0.1875,0.5,0.0625,0.125,0.3125,0.3125,0.0625,0.1875,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.1875,0.375,0.5,0.4375,0.125,0.5,0.1875,0.25,0.0625,0.125,0.4375,0.375,0.375,0.125,0.1875,0.1875,0.375,0.125,0.25,0.375,0.375,0.0625,0.25,0.0,0.375,0.125,0.0,0.125,0.25,0.25,0.1875,0.125,0.0,0.0625,0.0625,[]
8,Forbole,3,3,0,5,0,11,11,16,6,5,0.5454545454545454,0.45454545454545453,0.6875,3,0.25,0.375,0.125,0.1875,0.0625,0.25,0.3125,0.125,1.0,0.25,0.375,0.0,0.1875,0.1875,0.0,0.125,0.25,0.0,0.4375,0.0,0.3125,0.0,0.3125,0.375,0.125,0.0625,0.1875,0.0,0.0625,0.3125,0.375,0.0625,0.1875,0.0,0.25,0.0,0.1875,0.125,0.1875,0.4375,0.1875,0.0,0.1875,0.1875,0.0,0.0,0.25,0.0625,0.0,0.1875,0.125,0.0,0.0,0.0625,0.0,0.125,0.4375,0.0,0.25,0.125,0.125,0.0,0.1875,0.375,0.3125,0.1875,0.0,0.1875,0.0,0.0625,0.125,0.125,0.3125,0.25,0.4375,0.0625,0.25,0.1875,0.0,0.125,0.0625,0.0625,0.0,0.125,0.0,0.125,0.0625,0.1875,0.125,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,[]
9,Notional,4,5,0,1,0,10,10,16,8,8,0.8,0.8,0.625,3,0.4375,0.3125,0.1875,0.1875,0.3125,0.5,0.125,0.1875,0.25,1.0,0.5,0.0,0.3125,0.1875,0.0,0.1875,0.375,0.0,0.3125,0.0625,0.5,0.0,0.4375,0.5,0.0625,0.1875,0.25,0.0,0.25,0.4375,0.4375,0.125,0.0625,0.0,0.375,0.125,0.125,0.25,0.25,0.375,0.25,0.0,0.3125,0.1875,0.125,0.0,0.25,0.0625,0.375,0.3125,0.3125,0.0,0.0,0.0625,0.0,0.0625,0.375,0.0625,0.3125,0.0625,0.1875,0.0,0.25,0.4375,0.5,0.3125,0.0,0.25,0.0625,0.0625,0.1875,0.1875,0.4375,0.25,0.375,0.1875,0.5,0.25,0.0,0.25,0.0625,0.0,0.0,0.0,0.0625,0.125,0.0625,0.1875,0.1875,0.0625,0.1875,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
10,WhisperNode ,9,5,0,1,0,15,15,16,14,13,0.9333333333333333,0.8666666666666667,0.9375,3,0.625,0.625,0.1875,0.1875,0.5625,0.4375,0.3125,0.4375,0.375,0.5,1.0,0.0,0.3125,0.3125,0.0,0.4375,0.5625,0.0,0.4375,0.1875,0.8125,0.0,0.625,0.6875,0.3125,0.125,0.25,0.125,0.5,0.5625,0.8125,0.25,0.4375,0.0,0.5,0.1875,0.4375,0.5625,0.625,0.75,0.25,0.0,0.3125,0.1875,0.125,0.0,0.375,0.1875,0.4375,0.5625,0.625,0.125,0.0,0.25,0.0,0.1875,0.75,0.0625,0.4375,0.3125,0.375,0.0,0.25,0.3125,0.75,0.3125,0.0,0.625,0.0625,0.0,0.4375,0.3125,0.75,0.25,0.75,0.3125,0.625,0.25,0.0,0.5625,0.25,0.1875,0.0,0.1875,0.0625,0.4375,0.1875,0.25,0.5,0.3125,0.0625,0.375,0.0,0.25,0.125,0.0625,0.0625,0.1875,0.1875,0.1875,0.0625,0.0,0.0,0.0,"[' AutoStake  Slash Protected', 'Cosmic Validator', 'BlueStake   100 insurance', 'OmniFlix Network', 'Stakecito', 'BadgerBite', 'ChainTools', 'chainvibes', 'MedasDigital', ' Quokka Stake', 'Stakewollecom  full insurance', 'Active Nodes  Please Redelegate before 3 June', 'MathNodes', 'exnihilovalidator', 'Stakin Discontinued Redelegate']"
11,stakefish,0,0,0,0,2,0,2,16,0,0,0.0,0.0,0.0,3,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
12,Alex Bambarello Validator,3,5,1,0,0,9,9,16,5,5,0.5555555555555556,0.5555555555555556,0.5625,3,0.3125,0.3125,0.125,0.1875,0.125,0.25,0.125,0.125,0.1875,0.3125,0.3125,0.0,1.0,0.0,0.0,0.125,0.25,0.0,0.25,0.0,0.3125,0.0,0.25,0.25,0.0,0.0625,0.1875,0.0,0.125,0.25,0.3125,0.1875,0.0625,0.0,0.3125,0.125,0.125,0.1875,0.125,0.3125,0.1875,0.0,0.4375,0.25,0.0,0.0,0.25,0.0,0.1875,0.3125,0.125,0.0,0.0,0.0625,0.0,0.125,0.3125,0.0,0.375,0.0,0.125,0.0,0.1875,0.375,0.375,0.1875,0.0,0.125,0.0,0.0,0.125,0.125,0.375,0.1875,0.375,0.125,0.3125,0.1875,0.0,0.1875,0.0625,0.0,0.0,0.0625,0.0,0.125,0.125,0.0625,0.1875,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
13,Ubik Capital,3,2,0,10,0,15,15,16,4,15,0.26666666666666666,1.0,0.9375,6,0.375,0.5,0.0,0.0625,0.5,0.1875,0.375,0.375,0.1875,0.1875,0.3125,0.0,0.0,1.0,0.0,0.5625,0.5,0.0,0.4375,0.25,0.3125,0.0,0.3125,0.4375,0.1875,0.1875,0.0,0.125,0.375,0.4375,0.3125,0.1875,0.1875,0.0,0.0,0.0,0.375,0.25,0.5,0.1875,0.0,0.0625,0.0,0.0,0.1875,0.0,0.0,0.1875,0.1875,0.3125,0.3125,0.125,0.0,0.1875,0.0,0.0,0.3125,0.0,0.125,0.1875,0.125,0.0,0.0,0.125,0.3125,0.0,0.0625,0.25,0.0,0.1875,0.4375,0.5,0.25,0.0625,0.1875,0.1875,0.125,0.0,0.0,0.25,0.1875,0.125,0.0,0.0,0.0625,0.25,0.0,0.3125,0.25,0.125,0.0625,0.25,0.0,0.25,0.0625,0.0,0.1875,0.125,0.125,0.125,0.0,0.0,0.0,0.0,[]
14,Chihuahua,0,0,0,0,16,0,16,16,0,0,0.0,0.0,0.0,3,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0625,1.0,0.0625,0.0,0.0625,1.0,0.125,0.0,0.0,0.625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.4375,1.0,0.5,0.0,0.0,0.0,0.0625,0.0625,0.0,0.9375,0.0,0.0,0.8125,0.0625,0.0,0.1875,0.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.9375,0.0,0.0625,0.8125,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.875,0.25,0.5625,0.625,0.0,0.4375,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Zenscape', 'artifact', 'SOLAR Labs', 'Sarvodaya Validators', 'Perfect Stake ', 'Bit Cat', 'UNBONDING', 'Woodstock Fund', 'Decommissioned', 'Bitveil', 'Avril14th']"
15,CommunityStaking,7,3,0,6,0,16,16,16,9,10,0.5625,0.625,1.0,3,0.625,0.6875,0.0,0.0625,0.8125,0.125,0.3125,0.4375,0.125,0.1875,0.4375,0.0,0.125,0.5625,0.0,1.0,0.5,0.0,0.5,0.1875,0.5625,0.0,0.625,0.5,0.3125,0.1875,0.0,0.1875,0.6875,0.5625,0.625,0.375,0.4375,0.0,0.25,0.125,0.6875,0.5625,0.75,0.5625,0.0,0.0625,0.125,0.0,0.125,0.0,0.0625,0.3125,0.4375,0.4375,0.5625,0.1875,0.0,0.1875,0.0625,0.25,0.5,0.0,0.25,0.25,0.4375,0.0625,0.0,0.3125,0.5625,0.0625,0.0625,0.5,0.0,0.0625,0.625,0.375,0.5625,0.0,0.5625,0.4375,0.3125,0.0,0.125,0.5625,0.3125,0.1875,0.0,0.125,0.0625,0.5625,0.25,0.375,0.375,0.25,0.0625,0.25,0.0,0.375,0.125,0.0,0.1875,0.25,0.25,0.1875,0.125,0.0625,0.0625,0.0625,"[' AutoStake  Slash Protected', 'Cosmic Validator', 'Mandragora', 'OmniFlix Network', 'Komikuri', 'BadgerBite', 'Stake Frites  ', 'ChainTools', 'BlueFrenDAO']"
16,Citadelone,7,4,0,4,1,15,16,16,11,12,0.6875,0.75,0.9375,3,0.625,0.6875,0.1875,0.1875,0.5625,0.375,0.25,0.5625,0.25,0.375,0.5625,0.0,0.25,0.5,0.0625,0.5,1.0,0.0625,0.625,0.1875,0.6875,0.0625,0.625,0.625,0.3125,0.0625,0.25,0.1875,0.5,0.6875,0.625,0.125,0.4375,0.0625,0.3125,0.125,0.25,0.4375,0.375,0.625,0.25,0.0625,0.25,0.1875,0.25,0.0,0.3125,0.3125,0.4375,0.4375,0.5,0.1875,0.0625,0.1875,0.0625,0.0625,0.6875,0.0625,0.3125,0.25,0.25,0.0625,0.25,0.4375,0.625,0.25,0.0625,0.375,0.0625,0.125,0.3125,0.375,0.625,0.3125,0.625,0.125,0.4375,0.25,0.1875,0.4375,0.375,0.1875,0.0,0.0625,0.0625,0.4375,0.125,0.3125,0.3125,0.1875,0.0,0.3125,0.0,0.375,0.125,0.0,0.1875,0.25,0.25,0.1875,0.125,0.0625,0.0625,0.0625,"[' AutoStake  Slash Protected', 'Cosmic Validator', 'Cosmostation', 'BlueStake   100 insurance', 'OmniFlix Network', 'Stakecito', 'Allnodes', 'BadgerBite', 'chainvibes', ' Quokka Stake', 'Stakewollecom  full insurance', 'MathNodes', 'exnihilovalidator']"
17,Zenscape,0,0,0,0,16,0,16,16,0,8,0.0,0.5,0.0,1,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.0625,1.0,0.0625,0.0,0.0625,1.0,0.125,0.0,0.0,0.625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.4375,1.0,0.5,0.0,0.0,0.0,0.0625,0.0625,0.0,0.9375,0.0,0.0,0.8125,0.0625,0.0,0.1875,0.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.9375,0.0,0.0625,0.8125,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.875,0.25,0.5625,0.625,0.0,0.4375,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Chihuahua', 'artifact', 'SOLAR Labs', 'Sarvodaya Validators', 'Perfect Stake ', 'Bit Cat', 'UNBONDING', 'Woodstock Fund', 'Decommissioned', 'Bitveil', 'Avril14th']"
